--dc=16:8:32, bfs_pointer/bfs_pointer, 6746
--dc=8:16:32, bfs_pointer/bfs_pointer, 6786
--dc=4:32:32, bfs_pointer/bfs_pointer, 6774
--dc=2:64:32, bfs_pointer/bfs_pointer, 6731
--dc=256:1:32, bfs_pointer/bfs_pointer, 5927
--dc=128:2:32, bfs_pointer/bfs_pointer, 5904
--dc=64:4:32, bfs_pointer/bfs_pointer, 5887
--dc=32:8:32, bfs_pointer/bfs_pointer, 5922
--dc=16:16:32, bfs_pointer/bfs_pointer, 5921
--dc=8:32:32, bfs_pointer/bfs_pointer, 5895
--dc=4:64:32, bfs_pointer/bfs_pointer, 5918
--dc=512:1:32, bfs_pointer/bfs_pointer, 4683
--dc=256:2:32, bfs_pointer/bfs_pointer, 4651
--dc=128:4:32, bfs_pointer/bfs_pointer, 4732
--dc=64:8:32, bfs_pointer/bfs_pointer, 4779
--dc=32:16:32, bfs_pointer/bfs_pointer, 4733
--dc=16:32:32, bfs_pointer/bfs_pointer, 4804
--dc=8:64:32, bfs_pointer/bfs_pointer, 4809
--dc=1024:1:32, bfs_pointer/bfs_pointer, 3622
--dc=512:2:32, bfs_pointer/bfs_pointer, 3552
--dc=256:4:32, bfs_pointer/bfs_pointer, 3694
--dc=128:8:32, bfs_pointer/bfs_pointer, 3726
--dc=64:16:32, bfs_pointer/bfs_pointer, 3718
--dc=32:32:32, bfs_pointer/bfs_pointer, 3712
--dc=16:64:32, bfs_pointer/bfs_pointer, 3735
--dc=2048:1:32, bfs_pointer/bfs_pointer, 2581
--dc=1024:2:32, bfs_pointer/bfs_pointer, 2969
--dc=512:4:32, bfs_pointer/bfs_pointer, 3082
--dc=256:8:32, bfs_pointer/bfs_pointer, 3090
--dc=128:16:32, bfs_pointer/bfs_pointer, 3091
--dc=64:32:32, bfs_pointer/bfs_pointer, 3114
--dc=32:64:32, bfs_pointer/bfs_pointer, 3183
--dc=4096:1:32, bfs_pointer/bfs_pointer, 2540
--dc=2048:2:32, bfs_pointer/bfs_pointer, 2529
--dc=1024:4:32, bfs_pointer/bfs_pointer, 2738
--dc=512:8:32, bfs_pointer/bfs_pointer, 2770
--dc=256:16:32, bfs_pointer/bfs_pointer, 2804
--dc=128:32:32, bfs_pointer/bfs_pointer, 2827
--dc=64:64:32, bfs_pointer/bfs_pointer, 2850
--dc=8192:1:32, bfs_pointer/bfs_pointer, 2540
--dc=4096:2:32, bfs_pointer/bfs_pointer, 2511
--dc=2048:4:32, bfs_pointer/bfs_pointer, 2519
--dc=1024:8:32, bfs_pointer/bfs_pointer, 2627
--dc=512:16:32, bfs_pointer/bfs_pointer, 2631
--dc=256:32:32, bfs_pointer/bfs_pointer, 2675
--dc=128:64:32, bfs_pointer/bfs_pointer, 2667
--dc=16384:1:32, bfs_pointer/bfs_pointer, 2540
--dc=8192:2:32, bfs_pointer/bfs_pointer, 2511
--dc=4096:4:32, bfs_pointer/bfs_pointer, 2511
--dc=2048:8:32, bfs_pointer/bfs_pointer, 2515
--dc=1024:16:32, bfs_pointer/bfs_pointer, 2571
--dc=512:32:32, bfs_pointer/bfs_pointer, 2544
--dc=256:64:32, bfs_pointer/bfs_pointer, 2574
--dc=32768:1:32, bfs_pointer/bfs_pointer, 2540
--dc=16384:2:32, bfs_pointer/bfs_pointer, 2511
--dc=8192:4:32, bfs_pointer/bfs_pointer, 2511
--dc=4096:8:32, bfs_pointer/bfs_pointer, 2511
--dc=2048:16:32, bfs_pointer/bfs_pointer, 2512
--dc=1024:32:32, bfs_pointer/bfs_pointer, 2529
--dc=512:64:32, bfs_pointer/bfs_pointer, 2551
--dc=65536:1:32, bfs_pointer/bfs_pointer, 2540
--dc=32768:2:32, bfs_pointer/bfs_pointer, 2511
--dc=16384:4:32, bfs_pointer/bfs_pointer, 2511
--dc=8192:8:32, bfs_pointer/bfs_pointer, 2511
--dc=4096:16:32, bfs_pointer/bfs_pointer, 2511
--dc=2048:32:32, bfs_pointer/bfs_pointer, 2511
--dc=1024:64:32, bfs_pointer/bfs_pointer, 2516
--dc=256:1:16, conv2D/conv2D, 30513
--dc=128:2:16, conv2D/conv2D, 21621
--dc=64:4:16, conv2D/conv2D, 23651
--dc=32:8:16, conv2D/conv2D, 24271
--dc=16:16:16, conv2D/conv2D, 24216
--dc=8:32:16, conv2D/conv2D, 24260
--dc=4:64:16, conv2D/conv2D, 24200
--dc=512:1:16, conv2D/conv2D, 24628
--dc=256:2:16, conv2D/conv2D, 17629
--dc=128:4:16, conv2D/conv2D, 17754
--dc=64:8:16, conv2D/conv2D, 18759
--dc=32:16:16, conv2D/conv2D, 19373
--dc=16:32:16, conv2D/conv2D, 19304
--dc=8:64:16, conv2D/conv2D, 19310
--dc=1024:1:16, conv2D/conv2D, 18529
--dc=512:2:16, conv2D/conv2D, 14486
--dc=256:4:16, conv2D/conv2D, 14980
--dc=128:8:16, conv2D/conv2D, 15231
--dc=64:16:16, conv2D/conv2D, 15764
--dc=32:32:16, conv2D/conv2D, 15899
--dc=16:64:16, conv2D/conv2D, 15955
--dc=2048:1:16, conv2D/conv2D, 15603
--dc=1024:2:16, conv2D/conv2D, 13591
--dc=512:4:16, conv2D/conv2D, 13388
--dc=256:8:16, conv2D/conv2D, 13653
--dc=128:16:16, conv2D/conv2D, 13810
--dc=64:32:16, conv2D/conv2D, 14047
--dc=32:64:16, conv2D/conv2D, 14185
--dc=4096:1:16, conv2D/conv2D, 13449
--dc=2048:2:16, conv2D/conv2D, 12602
--dc=1024:4:16, conv2D/conv2D, 12537
--dc=512:8:16, conv2D/conv2D, 12518
--dc=256:16:16, conv2D/conv2D, 12570
--dc=128:32:16, conv2D/conv2D, 12577
--dc=64:64:16, conv2D/conv2D, 12668
--dc=8192:1:16, conv2D/conv2D, 10249
--dc=4096:2:16, conv2D/conv2D, 11144
--dc=2048:4:16, conv2D/conv2D, 11320
--dc=1024:8:16, conv2D/conv2D, 11437
--dc=512:16:16, conv2D/conv2D, 11587
--dc=256:32:16, conv2D/conv2D, 11486
--dc=128:64:16, conv2D/conv2D, 11567
--dc=16384:1:16, conv2D/conv2D, 10154
--dc=8192:2:16, conv2D/conv2D, 10153
--dc=4096:4:16, conv2D/conv2D, 10551
--dc=2048:8:16, conv2D/conv2D, 10762
--dc=1024:16:16, conv2D/conv2D, 10775
--dc=512:32:16, conv2D/conv2D, 10815
--dc=256:64:16, conv2D/conv2D, 10841
--dc=32768:1:16, conv2D/conv2D, 10154
--dc=16384:2:16, conv2D/conv2D, 10124
--dc=8192:4:16, conv2D/conv2D, 10142
--dc=4096:8:16, conv2D/conv2D, 10315
--dc=2048:16:16, conv2D/conv2D, 10428
--dc=1024:32:16, conv2D/conv2D, 10485
--dc=512:64:16, conv2D/conv2D, 10453
